Date,Clics,Impressions,CTR,Position
2026-04-03,0,0,,
2026-04-04,0,0,,
2026-04-05,0,2,0%,6
2026-04-06,0,0,,
2026-04-07,0,0,,
2026-04-08,0,2,0%,6
2026-04-09,0,0,,
2026-04-10,0,1,0%,1
2026-04-11,0,3,0%,5
2026-04-12,0,3,0%,2
2026-04-13,0,5,0%,9.8
2026-04-14,0,0,,
2026-04-15,0,0,,
2026-04-16,0,2,0%,4
2026-04-17,0,1,0%,9
2026-04-18,0,10,0%,6.3
2026-04-19,0,4,0%,4.8
2026-04-20,0,8,0%,6.4
2026-04-21,0,2,0%,6.5
2026-04-22,0,3,0%,5.3
2026-04-23,0,6,0%,4.2
2026-04-24,0,5,0%,5.8
2026-04-25,0,1,0%,7
2026-04-26,0,3,0%,5.3
2026-04-27,0,2,0%,9
2026-04-28,0,1,0%,4
2026-04-29,0,3,0%,4
2026-04-30,1,4,25%,3
2026-05-01,0,0,,
2026-05-02,1,1,100%,1
2026-05-03,1,2,50%,2
2026-05-04,0,3,0%,4
2026-05-05,0,4,0%,6
2026-05-06,0,21,0%,2
2026-05-07,0,3,0%,6
2026-05-08,0,5,0%,10
2026-05-09,0,5,0%,9.2
2026-05-10,0,5,0%,8
2026-05-11,0,5,0%,10.2
2026-05-12,0,4,0%,7
2026-05-13,0,4,0%,10.8
2026-05-14,0,2,0%,9
2026-05-15,0,1,0%,12
2026-05-16,0,3,0%,7.7
2026-05-17,0,0,,
2026-05-18,0,0,,
2026-05-19,0,4,0%,5.5
2026-05-20,0,1,0%,1
2026-05-21,0,2,0%,10
2026-05-22,1,12,8.33%,10
2026-05-23,0,3,0%,5
2026-05-24,0,0,,
2026-05-25,0,1,0%,11
2026-05-26,0,3,0%,4.3
2026-05-27,0,3,0%,6.3
2026-05-28,0,1,0%,1
2026-05-29,0,1,0%,5
2026-05-30,0,2,0%,5.5
2026-05-31,2,42,4.76%,5.5
2026-06-01,0,33,0%,8.4
2026-06-02,2,27,7.41%,9.2
2026-06-03,0,24,0%,9.5
2026-06-04,0,24,0%,9
2026-06-05,0,19,0%,9.3
2026-06-06,1,57,1.75%,7.5
2026-06-07,1,39,2.56%,8.8
2026-06-08,3,56,5.36%,9.3
2026-06-09,0,39,0%,9.4
2026-06-10,2,40,5%,8.9
2026-06-11,0,41,0%,8.6
2026-06-12,0,22,0%,8.3
2026-06-13,0,26,0%,10.5
2026-06-14,1,29,3.45%,8.8
2026-06-15,0,32,0%,9.1
2026-06-16,0,45,0%,9
2026-06-17,0,29,0%,9
2026-06-18,0,35,0%,9.5
2026-06-19,1,75,1.33%,8.4
2026-06-20,0,62,0%,7.7
2026-06-21,1,66,1.52%,8.8
2026-06-22,1,143,0.7%,9.7
2026-06-23,1,224,0.45%,8.5
2026-06-24,1,271,0.37%,8.5
2026-06-25,1,276,0.36%,7.8
2026-06-26,1,317,0.32%,7.3
2026-06-27,0,413,0%,6.6
2026-06-28,2,349,0.57%,7.3
2026-06-29,5,990,0.51%,6.8
2026-06-30,4,676,0.59%,7
2026-07-01,7,784,0.89%,6.8
2026-07-02,5,873,0.57%,6.1
