message,severity,attributes,tags,timestamp
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494060057Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494063477Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-oexcyw3w:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494067197Z
"[spain-pb]    UA          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494070877Z
[2026-07-29T10:28:41.470Z] [WARN] [SPAIN-WATCHER] Re-solve proactif échoué: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first.,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494074357Z
[spain-pb] 🚀 Résolution CF — stratégie Turnstile injection (token injecté dans notre Chromium),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494078847Z
[spain-pb] 🔄 Rotation IP proxy Decodo — session: 5ossrskc (http://sphgi7znzc-sessionid-5ossrskc:***@dc.decodo.com:10010/),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494082307Z
[spain-pb] 🚀 Lancement Chromium persistant,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494085397Z
[spain-pb]    userDataDir : /tmp/spain-cf-profile,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494088737Z
[spain-pb]    Proxy       : http://sphgi7znzc-sessionid-5ossrskc:***@dc.decodo.com:10010/,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494398915Z
"[spain-pb]    UA          : Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494413305Z
[2026-07-29T10:28:41.550Z] [WARN] [SPAIN-WATCHER] Erreur boucle: Error: The browser is already running for /tmp/spain-cf-profile. Use a different `userDataDir` or stop the running browser first. — retry dans 1 min,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:28:42.494418995Z
"[2026-07-29T10:28:52.677Z] [INFO] [v3-loop] Aucun dossier USA actif — polling dans 60s (total USA bruts: 0, raisons: )",info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:02.494402822Z
[2026-07-29T10:29:03.129Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:03.131239824Z
[2026-07-29T10:29:33.442Z] [INFO] Scheduler séquentiel idle — jobs USA gérés par V3 Chasseur — polling dans 90s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165171660Z
[2026-07-29T10:29:41.883Z] [INFO] [SPAIN-WATCHER] [PB] Probe → https://www.citaconsular.es/es/hosteds/widgetdefault/25028fcd7126544630b8da0c6e60722b5 | 2 dossier(s) actif(s) | intervalle: 10s,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165178700Z
[2026-07-29T10:29:41.883Z] [INFO] [SPAIN-WATCHER] ⏰ Cookie CF expire bientôt → re-solve proactif,info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165182540Z
[spain-pb] 🚀 Résolution CF — stratégie Turnstile injection (token injecté dans notre Chromium),info,"{""level"":""info""}","{""project"":""f1a29a18-3b4c-4185-aaea-ce8a01330c40"",""environment"":""75d8aabc-fc2c-419d-b59b-7cb9df5f214a"",""service"":""f012730b-0201-4dca-8ea2-f2def1e90227"",""deployment"":""d7700538-4079-4d1b-b2a6-21856c5088c0"",""replica"":""170a6750-f091-4ab1-b1d8-303894519017""}",2026-07-29T10:29:43.165185440Z
