Pays,Clics,Impressions,CTR,Position
République démocratique du Congo,14,1517,0.92%,8.47
Congo-Brazzaville,2,41,4.88%,8.71
France,2,34,5.88%,9.53
États-Unis,0,46,0%,7.48
Canada,0,27,0%,11.67
Belgique,0,18,0%,9.17
Allemagne,0,12,0%,8.75
Pays-Bas,0,12,0%,9
Ouganda,0,11,0%,7.91
Cameroun,0,6,0%,10.17
Maroc,0,5,0%,8.6
Émirats Arabes Unis,0,4,0%,6.5
Érythrée,0,4,0%,7
Suisse,0,4,0%,8.25
Tanzanie,0,3,0%,10.33
Turquie,0,3,0%,11.33
Royaume-Uni,0,3,0%,12.33
Espagne,0,2,0%,7.5
Brésil,0,2,0%,8
Bénin,0,2,0%,8.5
Inde,0,2,0%,9.5
Mexique,0,2,0%,11.5
Singapour,0,1,0%,1
Rwanda,0,1,0%,4
Tunisie,0,1,0%,6
Angola,0,1,0%,7
Burundi,0,1,0%,7
Chine,0,1,0%,7
Pérou,0,1,0%,7
Algérie,0,1,0%,8
Corée du Sud,0,1,0%,8
Monaco,0,1,0%,8
Biélorussie,0,1,0%,9
Japon,0,1,0%,9
Suède,0,1,0%,9
Kenya,0,1,0%,10
Réunion (Île de la),0,1,0%,10
Nigéria,0,1,0%,11
Sénégal,0,1,0%,11
Haïti,0,1,0%,12
Vietnam,0,1,0%,12
